,accuracies
ST_Slope,0.7898550724637681
Sex,0.822463768115942
FastingBS,0.8260869565217391
Age,0.8369565217391305
RestingBP,0.8369565217391305
Cholesterol,0.8369565217391305
RestingECG,0.8369565217391305
MaxHR,0.8369565217391305
ExerciseAngina,0.8369565217391305
All,0.8369565217391305
ChestPainType,0.8405797101449275
Oldpeak,0.855072463768116
